Book_Name,Description,Author,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length,Cover_IMG,Book_URL
Titan,"The Life of John D. Rockefeller, Sr.",Ron Chernow,4.5 out of 5 stars,35 ratings,"₹1,338.00","['Language:', 'English']",Length: 35 hrs and 3 mins,https://m.media-amazon.com/images/I/518u3PrQSAS._SL500_.jpg,https://www.audible.in/pd/Titan-Audiobook/B01MRZSUIO
I Too Had a Dream,,Kurien,4.5 out of 5 stars,6 ratings,₹586.00,"['Language:', 'English']",Length: 9 hrs and 58 mins,https://m.media-amazon.com/images/I/51oDMH3+FcL._SL500_.jpg,https://www.audible.in/pd/I-Too-Had-a-Dream-Audiobook/B09N5DVZMQ
Ego Is the Enemy,,Ryan Holiday,4.5 out of 5 stars,99 ratings,₹586.00,"['Language:', 'English']",Length: 6 hrs and 56 mins,https://m.media-amazon.com/images/I/41Q8lxKA2OL._SL500_.jpg,https://www.audible.in/pd/Ego-Is-the-Enemy-Audiobook/B079B976BB
Eat That Frog!,21 Great Ways to Stop Procrastinating and Get More Done in Less,Brian Tracy,4.5 out of 5 stars,256 ratings,₹233.00,"['Language:', 'English']",Length: 2 hrs and 37 mins,https://m.media-amazon.com/images/I/51LCpTzITaL._SL500_.jpg,https://www.audible.in/pd/Eat-That-Frog-Audiobook/B08NMZWW5G
The Amazon Way: Amazon's 14 Leadership Principles,,John Rossman,4.5 out of 5 stars,3 ratings,₹680.00,"['Language:', 'English']",Length: 4 hrs and 40 mins,https://m.media-amazon.com/images/I/51a4YCXlPbL._SL500_.jpg,https://www.audible.in/pd/The-Amazon-Way-Amazons-14-Leadership-Principles-Audiobook/1713625776
Nudge: The Final Edition,"Improving Decisions About Money, Health, and the Environment",Richard H. Thaler,4.5 out of 5 stars,18 ratings,₹703.00,"['Language:', 'English']",Length: 11 hrs and 33 mins,https://m.media-amazon.com/images/I/5120dFz6tbS._SL500_.jpg,https://www.audible.in/pd/Nudge-The-Final-Edition-Audiobook/1663714924
33 Strategies of War,,Robert Greene,4.5 out of 5 stars,37 ratings,₹820.00,"['Language:', 'English']",Length: 27 hrs and 30 mins,https://m.media-amazon.com/images/I/41SDAvNO7wL._SL500_.jpg,https://www.audible.in/pd/33-Strategies-of-War-Audiobook/B01MQYCOUY
The Everyday Hero Manifesto,"Activate Your Positivity, Maximize Your Productivity, Serve The World",Robin Sharma,,Not rated yet,"₹1,519.00","['Language:', 'English']",Length: 9 hrs and 27 mins,https://m.media-amazon.com/images/I/51LP52ob7CL._SL500_.jpg,https://www.audible.in/pd/The-Everyday-Hero-Manifesto-Audiobook/B08XY8T574
Start with Why,How Great Leaders Inspire Everyone To Take Action,Simon Sinek,4.5 out of 5 stars,84 ratings,₹888.00,"['Language:', 'English']",Length: 7 hrs and 18 mins,https://m.media-amazon.com/images/I/41Px2q4eSiL._SL500_.jpg,https://www.audible.in/pd/Start-with-Why-Audiobook/B09J5J1PTZ
HBR at 100,The Most Influential and Innovative Articles from Harvard Business Review's First Century,Harvard Business Review,,Not rated yet,₹703.00,"['Language:', 'English']",Length: 17 hrs and 7 mins,https://m.media-amazon.com/images/I/41xwPia5dAL._SL500_.jpg,https://www.audible.in/pd/HBR-at-100-Audiobook/B09WFVS56M
